,Date,weather.station,origin,destination,loc,origin.tract,destination.tract,Distance,post,treated,month,dayofweek,traveltime.mileEvening,median.age,median.income,per.male,per.female,per.white,per.bachelors,numvehicles,transScore,transRoutes,NumBikeshare,WalkScore,totalschool,undergrad,grad,college,dest.long,dest.lat,origin.long,origin.lat,Precip
39,6/25/19,FULTON CO-BROWN FLD ARPT,12.01,10.01,m,1201,1001,0.72472971,False,True,6,Tuesday,6.4621793,32.7,49606,52.87,47.13,73.43,31.83,2120,9.3,53,3,91,714,106,280,386,-84.3902405,33.7828223,-84.380305,33.7763742,0
40,6/25/19,FULTON CO-BROWN FLD ARPT,12.02,5.0,m,1202,500,1.339093776,False,True,6,Tuesday,4.754459159,34.4,62728,61.28,38.72,69.74,43.34,2395,9.6,52,7,90,748,375,289,664,-84.3854516,33.7961417,-84.3851557,33.776784,0
41,6/25/19,FULTON CO-BROWN FLD ARPT,303.44,312.11,c,30344,31211,3.464718747,False,False,6,Tuesday,1.938589293,31.0,36851,43.02,56.98,29.93,35.47,2215,4.9,4,0,23,988,333,89,422,-84.4790865,33.8575174,-84.4754314,33.9075148,0
42,6/25/19,FULTON CO-BROWN FLD ARPT,12.02,4.0,m,1202,400,0.884951126,False,True,6,Tuesday,5.800696993,34.4,62728,61.28,38.72,69.74,43.34,2395,9.6,52,7,90,748,375,289,664,-84.3785105,33.7883241,-84.3851557,33.776784,0
43,6/25/19,FULTON CO-BROWN FLD ARPT,10.01,5.0,m,1001,500,0.961564188,False,True,6,Tuesday,1.941281394,26.0,30290,64.5,35.5,54.01,37.55,765,9.6,61,4,84,1498,900,536,1436,-84.3854516,33.7961417,-84.3902405,33.7828223,0
44,6/25/19,FULTON CO-BROWN FLD ARPT,12.01,12.02,m,1201,1202,0.280330265,False,True,6,Tuesday,6.777719838,32.7,49606,52.87,47.13,73.43,31.83,2120,9.3,53,3,91,714,106,280,386,-84.3851557,33.776784,-84.380305,33.7763742,0
45,6/25/19,FULTON CO-BROWN FLD ARPT,303.44,303.39,c,30344,30339,2.162291219,False,False,6,Tuesday,1.757395103,31.0,36851,43.02,56.98,29.93,35.47,2215,4.9,4,0,23,988,333,89,422,-84.4520485,33.88301,-84.4754314,33.9075148,0
46,6/25/19,FULTON CO-BROWN FLD ARPT,312.11,312.07,c,31211,31207,1.413699333,False,False,6,Tuesday,1.638726575,31.5,43632,39.9,60.1,50.23,47.55,3110,3.9,1,0,47,845,299,339,638,-84.466061,33.8748589,-84.4790865,33.8575174,0
47,6/25/19,FULTON CO-BROWN FLD ARPT,312.07,303.45,c,31207,30345,1.550211998,False,False,6,Tuesday,3.085599478,35.5,54383,43.63,56.37,49.71,34.02,2720,5.9,6,0,32,797,405,116,521,-84.4675841,33.8972346,-84.466061,33.8748589,0
48,6/25/19,FULTON CO-BROWN FLD ARPT,303.39,312.07,c,30339,31207,0.98255733,False,False,6,Tuesday,3.171994724,30.8,40477,52.73,47.27,63.19,44.04,4140,5.2,5,3,26,1262,637,329,966,-84.466061,33.8748589,-84.4520485,33.88301,0
