Column1,state,county,tract,NAME,Population,MedianAge,MedianIncome,Male,Female,X..Male,X..Female,White,Black,AmIndian,Asian,PacIslander,OtherRace,X..White,X..Black,X..AmIndian,X..Asian,X..PacIslander,X..Other,EduTotal,NoHighSchool,HighSchool,Associates,Bachelors,Graduate,X..NoHighSchool,X..HighSchool,X..Associates,X..Bachelors,X..Graduate,TransportTotal,Car,PublicTransport,Bicycle,Walked,TaxiCab,WorkHome,X..Car,X..Public.Transport,X..Bicycle,X..Walked,X..TaxiCab,X..WorkHome,AggTravelTime,NumVechicles,veh.pop,travel.pop,transit.score,transit.routes,bike.hubs,walk.score,total.school,k12,college,origin.area,code
857,13,121,10002,"Census Tract 100.02, Fulton County, Georgia",7768,43.8,69474,3883,3885,49.99,50.01,6748,277,5,501,0,237,86.87,3.57,0.06,6.45,0,3.05,6051,6,365,414,2954,2312,0.1,6.03,6.84,48.82,38.21,4084,3383,46,12,91,81,471,82.84,1.13,0.29,2.23,1.98,11.53,81285,3360,0.432543769,10.46408342,6.9,5,9,27,1484,1012,283,b,123
949,13,121,10106,"Census Tract 101.06, Fulton County, Georgia",4444,39.1,42130,2090,2354,47.03,52.97,3057,1242,17,61,0,67,68.79,27.95,0.38,1.37,0,1.51,3181,80,477,713,1280,631,2.51,15,22.41,40.24,19.84,2696,2193,97,0,105,49,252,81.34,3.6,0,3.89,1.82,9.35,70045,2100,0.472547255,15.76170117,3.3,2,0,7,1146,620,501,s,238
790,13,121,10107,"Census Tract 101.07, Fulton County, Georgia",1920,55.5,61750,1017,903,52.97,47.03,1835,20,0,28,0,37,95.57,1.04,0,1.46,0,1.93,1483,5,124,231,700,423,0.34,8.36,15.58,47.2,28.52,747,595,34,0,13,9,96,79.65,4.55,0,1.74,1.2,12.85,17510,580,0.302083333,9.119791667,2,2,0,2,365,322,32,s,134
951,13,121,10108,"Census Tract 101.08, Fulton County, Georgia",3806,50.4,62526,1877,1929,49.32,50.68,2899,352,0,438,0,117,76.17,9.25,0,11.51,0,3.07,2803,88,222,452,1113,928,3.14,7.92,16.13,39.71,33.11,1833,1441,62,0,18,0,312,78.61,3.38,0,0.98,0,17.02,46225,1385,0.363899107,12.1452969,2.8,3,0,2,848,635,152,s,13
952,13,121,10110,"Census Tract 101.10, Fulton County, Georgia",7438,35.1,49890,3571,3867,48.01,51.99,5389,1045,31,773,0,200,72.45,14.05,0.42,10.39,0,2.69,5502,349,661,878,2281,1333,6.34,12.01,15.96,41.46,24.23,4063,2735,393,82,329,218,306,67.31,9.67,2.02,8.1,5.37,7.53,78720,2610,0.35090078,10.58349019,8.5,10,0,37,1375,642,575,s,15
858,13,121,10113,"Census Tract 101.13, Fulton County, Georgia",5469,31.6,35865,2357,3112,43.1,56.9,2768,1093,284,493,0,831,50.61,19.99,5.19,9.01,0,15.19,3854,395,540,767,1520,632,10.25,14.01,19.9,39.44,16.4,3795,3262,137,0,120,46,230,85.96,3.61,0,3.16,1.21,6.06,81405,3100,0.566831231,14.88480527,7.4,2,0,38,1314,795,458,s,599
859,13,121,10114,"Census Tract 101.14, Fulton County, Georgia",6775,32.7,50202,3155,3620,46.57,53.43,4983,923,370,205,0,294,73.55,13.62,5.46,3.03,0,4.34,4992,568,678,675,2002,1069,11.38,13.58,13.52,40.1,21.41,4063,3167,440,0,14,53,389,77.95,10.83,0,0.34,1.3,9.57,83115,3035,0.44797048,12.26789668,6,1,0,8,1246,1070,66,s,597
861,13,121,10117,"Census Tract 101.17, Fulton County, Georgia",4286,31.4,34593,1775,2511,41.41,58.59,1795,1987,43,323,0,138,41.88,46.36,1,7.54,0,3.22,2988,66,606,821,883,612,2.21,20.28,27.48,29.55,20.48,2886,2391,171,18,20,22,264,82.85,5.93,0.62,0.69,0.76,9.15,65590,2325,0.542463836,15.30331311,7.1,1,0,56,929,568,299,s,601
862,13,121,10118,"Census Tract 101.18, Fulton County, Georgia",5854,31.4,29051,3118,2736,53.26,46.74,3730,1469,28,271,16,340,63.72,25.09,0.48,4.63,0.27,5.81,3804,309,1179,1170,788,358,8.12,30.99,30.76,20.72,9.41,3301,2556,249,0,16,105,375,77.43,7.54,0,0.48,3.18,11.36,69900,2345,0.400580799,11.94055347,5.2,2,0,23,1608,1163,291,s,600
863,13,121,10119,"Census Tract 101.19, Fulton County, Georgia",6002,27.9,30678,3014,2988,50.22,49.78,2161,3277,5,125,0,434,36,54.6,0.08,2.08,0,7.23,3603,362,944,763,1251,283,10.05,26.2,21.18,34.72,7.85,3187,2761,120,0,71,52,183,86.63,3.77,0,2.23,1.63,5.74,85365,2510,0.418193935,14.22275908,6.3,2,0,57,1580,1020,506,s,345
864,13,121,10120,"Census Tract 101.20, Fulton County, Georgia",2365,31.8,42280,1150,1215,48.63,51.37,1700,397,12,153,0,103,71.88,16.79,0.51,6.47,0,4.36,1825,101,271,560,690,203,5.53,14.85,30.68,37.81,11.12,1713,1562,20,0,25,11,95,91.19,1.17,0,1.46,0.64,5.55,42660,1540,0.651162791,18.03805497,3.9,2,0,2,593,258,315,s,609
86,13,121,10121,"Census Tract 101.21, Fulton County, Georgia",2140,44.2,65017,1025,1115,47.9,52.1,1893,143,0,77,0,27,88.46,6.68,0,3.6,0,1.26,1747,38,131,286,820,472,2.18,7.5,16.37,46.94,27.02,1204,961,51,0,30,18,144,79.82,4.24,0,2.49,1.5,11.96,24055,955,0.446261682,11.24065421,7.6,7,0,35,243,166,48,s,346
87,13,121,10122,"Census Tract 101.22, Fulton County, Georgia",6369,33.2,67946,3037,3332,47.68,52.32,2557,718,0,2820,0,274,40.15,11.27,0,44.28,0,4.3,4967,92,349,599,2379,1548,1.85,7.03,12.06,47.9,31.17,4076,2489,1095,0,114,51,327,61.06,26.86,0,2.8,1.25,8.02,102575,2455,0.385460826,16.10535406,9,11,0,42,1145,396,554,s,31
88,13,121,10123,"Census Tract 101.23, Fulton County, Georgia",5047,38.4,41762,2281,2766,45.2,54.8,3303,1245,19,411,0,69,65.44,24.67,0.38,8.14,0,1.37,3606,273,538,538,1454,803,7.57,14.92,14.92,40.32,22.27,3315,2806,278,0,17,15,199,84.65,8.39,0,0.51,0.45,6,70390,2705,0.535961958,13.94689915,8.7,11,0,16,1074,584,318,s,347
