OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5251,{D28C54AF-05A3-4E10-B973-28BD638E7225},2019/09/06 15:40:46+00,883,221,Memorial Drive Limited,Route 221- Kensington Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5252,{23C3C4C5-2210-4F4F-B881-A1D1D8871C3B},2019/09/06 15:40:46+00,161,51,Joseph E Boone Boulevard,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5253,{81CB5507-E4A0-45FD-BC8C-CD6D5945251B},2019/09/06 15:40:46+00,318,120,East Ponce De Leon Avenue,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5254,{5104AA04-C119-4AF6-857E-53F33938CF08},2019/09/06 15:40:46+00,929,867,Peyton Forest / Dixie Hills,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5255,{D3F25073-EFD1-4132-BD98-6A8BB65356C2},2019/09/06 15:40:46+00,497,183,Barge Road P&R / Lakewood,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5256,{ED322DD1-8CA2-456A-BF4D-4C64808305D5},2019/09/06 15:40:46+00,717,201,Six Flags Over Georgia,Route 201 - Six Flags Over Georgia,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5257,{8D19AEBF-D8B7-46B3-B187-75F482A11955},2019/09/06 15:40:46+00,231,78,Cleveland Ave,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5258,{31FCEFF2-F23C-492A-A15E-DCB266B42C73},2019/09/06 15:40:46+00,164,51,Joseph E Boone Boulevard,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5259,{7397F6B4-2B5A-47E7-9756-C667861F46D4},2019/09/06 15:40:46+00,70,19,Clairmont Road,Route 19 - Decatur Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5260,{1EC6212A-FDC9-47E2-8676-250615702B2C},2019/09/06 15:40:46+00,573,194,Conley Road / Mt Zion,Route 194 Southlake Mall,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5261,{8AFA0D8A-6603-40D0-9B33-0DFED3857558},2019/09/06 15:40:46+00,59,15,Candler Road,Route 15 Bouldercrest Rd.,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5262,{3E80E7EB-ED26-4E93-AD2F-2D8AFC2F0602},2019/09/06 15:40:46+00,80,24,McAfee / Hosea Williams,Route 24- Indian Creek Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5263,{F031E025-8A2A-4EDD-816D-5BE2BA1F841A},2019/09/06 15:40:46+00,538,191,Riverdale / ATL Intl Terminal,Route 191-Clayton County Justice Center,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5264,{2EE9E3F7-1C1E-47A5-BF28-563B276C3AD0},2019/09/06 15:40:46+00,534,189,Flat Shoals Road / Scofield Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5265,{E2F43BAE-7A55-4B0F-AC23-8168D4465764},2019/09/06 15:40:46+00,282,104,Winters Chapel Road,Route 104 - Doraville Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5266,{C6084D16-9F63-434A-B30C-774BB5EE69F7},2019/09/06 15:40:46+00,150,49,McDonough Boulevard,Route 49 Metro Transitional Center,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5267,{CFA0E813-5E6E-42DE-8334-EF426C77C300},2019/09/06 15:40:46+00,182,66,Lynhurst Drive / Princeton Lakes,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5268,{F714DBF8-A469-4E19-8547-92341669430F},2019/09/06 15:40:46+00,734,201,Six Flags Over Georgia,Route 201 - Six Flags Over Georgia,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5269,{73C1BDE6-2D69-49F5-9E9D-83CEAE764EBE},2019/09/06 15:40:46+00,939,867,Peyton Forest / Dixie Hills,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5270,{F3D756F4-1D48-4F91-9114-BC9220A85ECE},2019/09/06 15:40:46+00,86,24,McAfee / Hosea Williams,Route 24- Edgewood/ Candler Park,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5271,{5E637A99-4E6A-432C-B206-1C34713C395F},2019/09/06 15:40:46+00,175,58,West Lake Avenue / Hollywood Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5272,{AA7EE8A5-9886-453E-8480-3E436B2C836F},2019/09/06 15:40:46+00,547,193,Morrow / Jonesboro,Route 193- East Point Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5273,{FBCB7DBE-32C6-42C3-B5B6-88FBBDCEB394},2019/09/06 15:40:46+00,45,12,Howell Mill Road / Cumberland,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5274,{F74D8314-1A85-4F6E-B30A-3CC7D7C381C2},2019/09/06 15:40:46+00,587,201,Six Flags Over Georgia,Route 201 - Six Flags Over Georgia,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5275,{0F59AB3E-582C-49F2-99AC-4022572E3CB7},2019/09/06 15:40:46+00,192,73,Fulton Industrial,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5276,{CB274B0A-E4D7-4F17-9AC8-C8BF31674169},2019/09/06 15:40:46+00,307,116,Redan Road,Route 116 - Indian Creek Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5277,{AD44FA96-024F-4421-822B-F14426AC2221},2019/09/06 15:40:46+00,909,850,Carroll Heights / Fairburn Heights,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5278,{2AFEDB30-70A5-4087-9B52-7C69A72D8E0F},2019/09/06 15:40:46+00,259,86,Fairington Road,Route 86- Kensington Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5279,{29577A09-157D-4F2E-9FD9-065EB509F067},2019/09/06 15:40:46+00,76,21,Memorial Drive,Route 21 - Kensington Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5280,{3B3B3A90-0059-42F3-9033-0BDB8E1D04F7},2019/09/06 15:40:46+00,339,121,Memorial Drive / N Hairston Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5281,{32E44DBD-FD5D-45DA-925B-853E98201A00},2019/09/06 15:40:46+00,229,75,Lawrenceville Highway,Route 75 - Avondale Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5282,{5D38FEB1-0F5F-412B-8426-E6814E3DB264},2019/09/06 15:40:46+00,4,3,Martin Luther King Jr Dr/Auburn Ave,Route 3 - H. E. Holmes Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5283,{D6547468-5771-4789-A3B5-AE8D36B36706},2019/09/06 15:40:46+00,454,162,Myrtle Drive / Alison Court,Route 162 Baptist Towers,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5284,{82C1445F-2195-49C6-959F-8F22C9209D1E},2019/09/06 15:40:46+00,90,26,Marietta Street / Perry Boulevard,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5285,{815277E4-4083-46F2-8C5D-BBADDB66A5A7},2019/09/06 15:40:46+00,341,123,Church Street / North DeKalb Mall,Route 123 - East Lake Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5286,{D7F83692-1FE0-444E-A2E7-36F388C8CE3C},2019/09/06 15:40:46+00,384,126,Chamblee-Tucker Road,Route 126 - Chamblee Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5287,{A07345A9-186B-4747-96A9-61378C2DC6AB},2019/09/06 15:40:46+00,575,195,Forest Parkway,Route 195- College Park Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5288,{74158CE3-AEF1-4467-92AB-2775A7C9879F},2019/09/06 15:40:46+00,112,34,2nd Ave/Gresham Rd/Clifton Spgs Rd,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5289,{2CA9F479-5FF0-4496-875B-02DCE289CF8F},2019/09/06 15:40:46+00,257,85,Roswell / Mansell Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5290,{7D6EE15F-75AF-474D-B447-F298A0751794},2019/09/06 15:40:46+00,92,26,Marietta Street / Perry Boulevard,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5291,{7C992181-CF40-4E47-A512-4460DB75A218},2019/09/06 15:40:46+00,3,2,Ponce de Leon Avenue / Druid Hills,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5292,{CC526EF3-E26B-4B6B-9DBE-AF325CC1FFE0},2019/09/06 15:40:46+00,536,191,Riverdale / ATL Intl Terminal,Route 191 Lakewood Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5293,{B78A09E4-BF5C-4D64-939A-02D883494920},2019/09/06 15:40:46+00,447,155,Pittsburgh,Route 155 West End Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5294,{7BC0F422-948F-4C36-AAE8-87A9ED74B9AC},2019/09/06 15:40:46+00,9,4,Moreland Avenue,Route 4- Rebel Forest Drive,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5295,{B558562A-1C93-4063-8403-7386DFFE7EB3},2019/09/06 15:40:46+00,242,82,Camp Creek / South Fulton Parkway,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5296,{BC344241-0A13-42F7-B0E6-2534A85E6D7D},2019/09/06 15:40:46+00,572,193,Morrow / Jonesboro,Route 193- East Point Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5297,{D7D9E5A1-DA10-4BE2-BDB0-280AB7C2A69F},2019/09/06 15:40:46+00,890,295,Metropolitan Campus Express,Route 295 Lakewood Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5298,{49B46628-3F01-42DC-A48B-47215F4DA922},2019/09/06 15:40:46+00,453,162,Myrtle Drive / Alison Court,Route 162 - Oakland City Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5299,{35BC1A27-CA58-48E5-9C6A-0F89202D3A27},2019/09/06 15:40:46+00,686,201,Six Flags Over Georgia,Route 201 - Six Flags Over Georgia,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5300,{E7C5C69C-2317-412C-AD30-DE12D6360943},2019/09/06 15:40:46+00,168,55,Jonesboro Road,Route 55 - Five Points Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5301,{712E2B64-8672-4AF5-B577-388C14DFBF0D},2019/09/06 15:40:46+00,32,8,North Druid Hills Road,Route 8 - Avondale Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5302,{365AAA6C-0E2C-4C0F-8264-56D50F6D5AE7},2019/09/06 15:40:46+00,982,GOLD,GOLD-Northeast Doraville Line,GOLD NORTHBOUND TO DORAVILLE STATION,"subway, metro",FFBF00,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5303,{0C4AA459-AAD3-45C1-B7B8-9AD913FD7237},2019/09/06 15:40:46+00,232,79,Sylvan Hills,Route 79- East Point Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5304,{9AB4CF11-7D86-490C-87A8-66F7A5A9BD00},2019/09/06 15:40:46+00,173,58,West Lake Avenue / Hollywood Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5305,{59A4101E-AA58-42E8-AC48-2B53CBAA661A},2019/09/06 15:40:46+00,123,39,Buford Highway,Route 39 Lindbergh Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5306,{433E93EA-3DBF-46F9-9FDD-1E764A807986},2019/09/06 15:40:46+00,514,189,Flat Shoals Road / Scofield Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5307,{42A12DE0-CF45-4FB8-9F69-B9EF08E7612D},2019/09/06 15:40:46+00,171,55,Jonesboro Road,Route 55 Forest Pkwy,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5308,{C47D4EF6-69D7-4744-9EF6-295D0B9F284F},2019/09/06 15:40:46+00,672,201,Six Flags Over Georgia,Route 201 - Six Flags Over Georgia,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5309,{899A463F-8C67-4569-BA98-871C759E374E},2019/09/06 15:40:46+00,279,103,Peeler Road / N Shallowford Road,Route 103 - Chamblee Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5310,{64E10778-A9F9-46BA-AD37-58C447CB2C86},2019/09/06 15:40:46+00,261,86,Fairington Road,Route 86-Kensington Station,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5311,{9EC9CD1E-1A74-463F-8976-6AA469FE2CAD},2019/09/06 15:40:46+00,299,114,Columbia Drive,Route 114 - GA State University/Perimeter College,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5312,{7DCC49A1-E641-4A54-9060-1E891F225680},2019/09/06 15:40:46+00,436,150,Perimeter Center / Dunwoody Village,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5313,{EAEC40E4-1734-4F76-AB77-E854EE92CD4C},2019/09/06 15:40:46+00,930,867,Peyton Forest / Dixie Hills,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5314,{EAED0551-659C-4142-8768-271D349510CA},2019/09/06 15:40:46+00,983,GOLD,GOLD-Northeast Doraville Line,GOLD SOUTHBOUND TO AIRPORT STATION,"subway, metro",FFBF00,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5315,{D17E0B65-B441-4FC5-BD3C-D1AF7AE6684B},2019/09/06 15:40:46+00,456,165,Fairburn Road,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
5316,{8B61BE99-E024-45D7-B1FC-4EDB5956FF22},2019/09/06 15:40:46+00,917,853,Collier Heights,nan,bus,819FF7,MARTA,Metropolitan Atlanta Rapid Transit Authority,2019/09/04,2019/12/06
