"","traveltime.mileEvening","treated","post","dayofweek","month","numvehicles","transRoutes","WalkScore","NumBikeshare","totalschool","origin.tract","Date","dayofweek.1"
"100",3.49689361068676,TRUE,FALSE,"Wednesday",6,555,39,74,7,347,400,"2019-06-26","Wednesday"
"101",4.80424407187169,TRUE,FALSE,"Wednesday",6,2120,37,62,4,1474,500,"2019-06-26","Wednesday"
"102",1.87194991540378,TRUE,FALSE,"Wednesday",6,765,61,84,4,1498,1001,"2019-06-26","Wednesday"
"103",2.91045290494246,FALSE,FALSE,"Wednesday",6,2215,4,23,0,988,30344,"2019-06-26","Wednesday"
"104",2.25708592628191,FALSE,FALSE,"Wednesday",6,2670,6,22,3,1239,30345,"2019-06-26","Wednesday"
"105",6.28245640773243,TRUE,FALSE,"Wednesday",6,765,61,84,4,1498,1001,"2019-06-26","Wednesday"
"106",2.133374746252,FALSE,FALSE,"Wednesday",6,2670,6,22,3,1239,30345,"2019-06-26","Wednesday"
"107",1.88682385556721,FALSE,FALSE,"Wednesday",6,3110,1,47,0,845,31211,"2019-06-26","Wednesday"
"108",1.84988958240774,FALSE,FALSE,"Wednesday",6,2215,4,23,0,988,30344,"2019-06-26","Wednesday"
"109",2.0644848722614,FALSE,FALSE,"Wednesday",6,3110,1,47,0,845,31211,"2019-06-26","Wednesday"
"110",1.64191415866944,FALSE,FALSE,"Wednesday",6,2670,6,22,3,1239,30345,"2019-06-26","Wednesday"
"111",4.71084780453007,TRUE,FALSE,"Wednesday",6,2120,53,91,3,714,1201,"2019-06-26","Wednesday"
"112",1.49822616444113,FALSE,FALSE,"Wednesday",6,2670,6,22,3,1239,30345,"2019-06-26","Wednesday"
"113",4.82140698248524,TRUE,FALSE,"Wednesday",6,765,61,84,4,1498,1001,"2019-06-26","Wednesday"
"114",1.78465664430426,FALSE,FALSE,"Wednesday",6,2215,4,23,0,988,30344,"2019-06-26","Wednesday"
"115",1.45571453273666,FALSE,FALSE,"Wednesday",6,4140,5,26,3,1262,30339,"2019-06-26","Wednesday"
"116",1.66230537452822,FALSE,FALSE,"Wednesday",6,3110,1,47,0,845,31211,"2019-06-26","Wednesday"
"117",1.36429356702571,FALSE,FALSE,"Wednesday",6,4140,5,26,3,1262,30339,"2019-06-26","Wednesday"
"118",2.85739603995648,FALSE,FALSE,"Wednesday",6,2720,6,32,0,797,31207,"2019-06-26","Wednesday"
"119",2.63419487877883,FALSE,FALSE,"Wednesday",6,2720,6,32,0,797,31207,"2019-06-26","Wednesday"
"120",4.42753495042983,TRUE,FALSE,"Wednesday",6,2120,53,91,3,714,1201,"2019-06-26","Wednesday"
"121",6.4209977409554,TRUE,FALSE,"Wednesday",6,2120,53,91,3,714,1201,"2019-06-26","Wednesday"
"122",2.84234651770141,FALSE,FALSE,"Wednesday",6,2215,4,23,0,988,30344,"2019-06-26","Wednesday"
"123",1.99239983620209,FALSE,FALSE,"Wednesday",6,4140,5,26,3,1262,30339,"2019-06-26","Wednesday"
"124",3.03629441464117,FALSE,FALSE,"Wednesday",6,4140,5,26,3,1262,30339,"2019-06-26","Wednesday"
"125",2.26850693361103,FALSE,FALSE,"Wednesday",6,2670,6,22,3,1239,30345,"2019-06-26","Wednesday"
"126",3.0855994784188,FALSE,FALSE,"Wednesday",6,2720,6,32,0,797,31207,"2019-06-26","Wednesday"
"127",2.7479312579434,FALSE,FALSE,"Wednesday",6,2720,6,32,0,797,31207,"2019-06-26","Wednesday"
"128",6.48517637971369,TRUE,FALSE,"Wednesday",6,765,61,84,4,1498,1001,"2019-06-26","Wednesday"
"129",1.97707245501092,FALSE,FALSE,"Wednesday",6,3110,1,47,0,845,31211,"2019-06-26","Wednesday"
"130",2.70205058890003,FALSE,FALSE,"Wednesday",6,3110,1,47,0,845,31211,"2019-06-26","Wednesday"
"131",4.96908733333736,TRUE,FALSE,"Wednesday",6,765,61,84,4,1498,1001,"2019-06-26","Wednesday"
"132",6.07122895122133,TRUE,FALSE,"Wednesday",6,2120,53,91,3,714,1201,"2019-06-26","Wednesday"
"133",5.97019787882233,TRUE,FALSE,"Wednesday",6,2395,52,90,7,748,1202,"2019-06-26","Wednesday"
"134",4.30076101205483,TRUE,FALSE,"Wednesday",6,2120,53,91,3,714,1201,"2019-06-26","Wednesday"
"135",4.22170625009777,TRUE,FALSE,"Wednesday",6,2120,53,91,3,714,1201,"2019-06-26","Wednesday"
"136",5.39407506579384,TRUE,FALSE,"Wednesday",6,2395,52,90,7,748,1202,"2019-06-26","Wednesday"
"137",4.67978179021698,TRUE,FALSE,"Wednesday",6,2395,52,90,7,748,1202,"2019-06-26","Wednesday"
"138",5.22037779278892,TRUE,FALSE,"Wednesday",6,2395,52,90,7,748,1202,"2019-06-26","Wednesday"
"139",6.11011408638766,TRUE,FALSE,"Wednesday",6,765,61,84,4,1498,1001,"2019-06-26","Wednesday"
"140",4.44415607017877,TRUE,FALSE,"Wednesday",6,2395,52,90,7,748,1202,"2019-06-26","Wednesday"
"141",1.97194372875069,FALSE,FALSE,"Wednesday",6,4140,5,26,3,1262,30339,"2019-06-26","Wednesday"
"142",1.69767357398627,FALSE,FALSE,"Wednesday",6,2720,6,32,0,797,31207,"2019-06-26","Wednesday"
"143",2.0856837569339,FALSE,FALSE,"Wednesday",6,2215,4,23,0,988,30344,"2019-06-26","Wednesday"
"144",6.77771983767514,TRUE,FALSE,"Wednesday",6,2395,52,90,7,748,1202,"2019-06-26","Wednesday"
"145",6.32929492913794,TRUE,FALSE,"Thursday",6,2240,40,90,5,448,1100,"2019-06-27","Thursday"
"146",6.49663105799604,TRUE,FALSE,"Thursday",6,2050,11,89,2,835,1300,"2019-06-27","Thursday"
"147",7.05769805748172,TRUE,FALSE,"Thursday",6,2120,37,62,4,1474,500,"2019-06-27","Thursday"
"148",6.56864693871094,TRUE,FALSE,"Thursday",6,2050,11,89,2,835,1300,"2019-06-27","Thursday"
"149",1.53859786766887,FALSE,FALSE,"Thursday",6,3550,3,1,3,1501,30320,"2019-06-27","Thursday"
"150",1.28719732778308,FALSE,FALSE,"Thursday",6,3550,3,1,3,1501,30320,"2019-06-27","Thursday"
"151",10.3401930692714,TRUE,FALSE,"Thursday",6,2240,40,90,5,448,1100,"2019-06-27","Thursday"
"152",6.7858459841565,TRUE,FALSE,"Thursday",6,2050,11,89,2,835,1300,"2019-06-27","Thursday"
"153",5.56068701011745,TRUE,FALSE,"Thursday",6,2050,11,89,2,835,1300,"2019-06-27","Thursday"
"154",2.62977517178622,FALSE,FALSE,"Thursday",6,3550,3,1,3,1501,30320,"2019-06-27","Thursday"
"155",4.82524130877933,TRUE,FALSE,"Thursday",6,555,39,74,7,347,400,"2019-06-27","Thursday"
"156",5.16518468867034,TRUE,FALSE,"Thursday",6,2120,37,62,4,1474,500,"2019-06-27","Thursday"
"157",6.41360700256925,TRUE,FALSE,"Thursday",6,2050,11,89,2,835,1300,"2019-06-27","Thursday"
"158",5.38006763811653,TRUE,FALSE,"Thursday",6,555,39,74,7,347,400,"2019-06-27","Thursday"
"159",5.5337864600481,TRUE,FALSE,"Thursday",6,2240,40,90,5,448,1100,"2019-06-27","Thursday"
"160",7.76534881794279,TRUE,FALSE,"Thursday",6,2050,11,89,2,835,1300,"2019-06-27","Thursday"
"161",1.1965012752006,FALSE,FALSE,"Thursday",6,3550,3,1,3,1501,30320,"2019-06-27","Thursday"
"162",5.94240168852625,TRUE,FALSE,"Thursday",6,555,39,74,7,347,400,"2019-06-27","Thursday"
"163",5.70654993012261,TRUE,FALSE,"Thursday",6,2120,37,62,4,1474,500,"2019-06-27","Thursday"
"164",1.65618236384299,FALSE,FALSE,"Thursday",6,3550,3,1,3,1501,30320,"2019-06-27","Thursday"
"165",6.5423063791168,TRUE,FALSE,"Thursday",6,2240,40,90,5,448,1100,"2019-06-27","Thursday"
"166",3.99290688879836,TRUE,FALSE,"Thursday",6,555,39,74,7,347,400,"2019-06-27","Thursday"
"167",2.73859339475738,TRUE,FALSE,"Thursday",6,2120,37,62,4,1474,500,"2019-06-27","Thursday"
"168",7.49040013350385,TRUE,FALSE,"Thursday",6,555,39,74,7,347,400,"2019-06-27","Thursday"
"169",6.31705041403982,TRUE,FALSE,"Thursday",6,2240,40,90,5,448,1100,"2019-06-27","Thursday"
"170",5.63831088474612,TRUE,FALSE,"Thursday",6,2240,40,90,5,448,1100,"2019-06-27","Thursday"
"171",5.43461465968882,TRUE,FALSE,"Thursday",6,2120,37,62,4,1474,500,"2019-06-27","Thursday"
"172",6.13969876497186,TRUE,FALSE,"Thursday",6,555,39,74,7,347,400,"2019-06-27","Thursday"
"173",3.9433055609872,TRUE,FALSE,"Thursday",6,2120,37,62,4,1474,500,"2019-06-27","Thursday"
"174",2.82799123225847,FALSE,FALSE,"Thursday",6,2215,4,23,0,988,30344,"2019-06-27","Thursday"
"175",1.66693084984321,FALSE,FALSE,"Thursday",6,3110,1,47,0,845,31211,"2019-06-27","Thursday"
"176",1.72237023628665,FALSE,FALSE,"Thursday",6,3110,1,47,0,845,31211,"2019-06-27","Thursday"
"177",1.47367497741864,FALSE,FALSE,"Thursday",6,3110,1,47,0,845,31211,"2019-06-27","Thursday"
"178",1.95384497963768,FALSE,FALSE,"Thursday",6,3110,1,47,0,845,31211,"2019-06-27","Thursday"
"179",2.12619470830858,FALSE,FALSE,"Thursday",6,2215,4,23,0,988,30344,"2019-06-27","Thursday"
"180",2.38436001051694,FALSE,FALSE,"Thursday",6,2670,6,22,3,1239,30345,"2019-06-27","Thursday"
"181",2.59366891528886,FALSE,FALSE,"Thursday",6,2215,4,23,0,988,30344,"2019-06-27","Thursday"
"182",1.67409477434757,FALSE,FALSE,"Thursday",6,2720,6,32,0,797,31207,"2019-06-27","Thursday"
"183",2.47274657303926,FALSE,FALSE,"Thursday",6,2720,6,32,0,797,31207,"2019-06-27","Thursday"
"184",5.01554756491604,TRUE,FALSE,"Thursday",6,2395,52,90,7,748,1202,"2019-06-27","Thursday"
"185",1.80785229172646,FALSE,FALSE,"Thursday",6,2670,6,22,3,1239,30345,"2019-06-27","Thursday"
"186",4.46180328801802,TRUE,FALSE,"Thursday",6,2120,53,91,3,714,1201,"2019-06-27","Thursday"
