state,county,tract,name ,long name
13,121,40,Census Tract 40,"Census Tract 40, Fulton County, Georgia"
13,121,41,Census Tract 41,"Census Tract 41, Fulton County, Georgia"
13,121,42,Census Tract 42,"Census Tract 42, Fulton County, Georgia"
13,121,43,Census Tract 43,"Census Tract 43, Fulton County, Georgia"
13,121,44,Census Tract 44,"Census Tract 44, Fulton County, Georgia"
13,121,48,Census Tract 48,"Census Tract 48, Fulton County, Georgia"
13,121,49,Census Tract 49,"Census Tract 49, Fulton County, Georgia"
13,121,50,Census Tract 50,"Census Tract 50, Fulton County, Georgia"
13,121,52,Census Tract 52,"Census Tract 52, Fulton County, Georgia"
13,121,53,Census Tract 53,"Census Tract 53, Fulton County, Georgia"
13,121,55.01,Census Tract 55.01,"Census Tract 55.01, Fulton County, Georgia"
13,121,55.02,Census Tract 55.02,"Census Tract 55.02, Fulton County, Georgia"
13,121,57,Census Tract 57,"Census Tract 57, Fulton County, Georgia"
13,121,58,Census Tract 58,"Census Tract 58, Fulton County, Georgia"
13,121,60,Census Tract 60,"Census Tract 60, Fulton County, Georgia"
13,121,61,Census Tract 61,"Census Tract 61, Fulton County, Georgia"
13,121,62,Census Tract 62,"Census Tract 62, Fulton County, Georgia"
13,121,63,Census Tract 63,"Census Tract 63, Fulton County, Georgia"
13,121,64,Census Tract 64,"Census Tract 64, Fulton County, Georgia"
13,121,65,Census Tract 65,"Census Tract 65, Fulton County, Georgia"
13,121,66.01,Census Tract 66.01,"Census Tract 66.01, Fulton County, Georgia"
13,121,66.02,Census Tract 66.02,"Census Tract 66.02, Fulton County, Georgia"
13,121,67,Census Tract 67,"Census Tract 67, Fulton County, Georgia"
13,121,68.01,Census Tract 68.01,"Census Tract 68.01, Fulton County, Georgia"
13,121,68.02,Census Tract 68.02,"Census Tract 68.02, Fulton County, Georgia"
13,121,69,Census Tract 69,"Census Tract 69, Fulton County, Georgia"
13,121,70.01,Census Tract 70.01,"Census Tract 70.01, Fulton County, Georgia"
