,minutes_per_mile,treated,post,scooter,origin_tract,destination,day_of_week,month,numvehicles,totalschool,tract,date,transit.routes,walk.score,bike.hubs,precip,week_num
97,1.853311068171689,0,1,1,30320,31207,Thursday,9,3550,1501,cumberland,2018-09-06,3,1,3,0,36
98,1.177271385252334,0,0,1,30320,31211,Thursday,7,3550,1501,cumberland,2018-07-12,3,1,3,0,28
99,2.3616347668013686,0,0,1,30320,31211,Saturday,7,3550,1501,cumberland,2018-07-14,3,1,3,0,28
100,1.5531471889774766,0,0,1,30320,31211,Sunday,7,3550,1501,cumberland,2018-07-15,3,1,3,1,28
101,1.925476994554269,0,0,1,30320,31211,Monday,7,3550,1501,cumberland,2018-07-16,3,1,3,1,29
102,1.7517230852850991,0,0,1,30320,31211,Tuesday,7,3550,1501,cumberland,2018-07-17,3,1,3,0,29
103,2.4680147112518807,0,0,1,30320,31211,Wednesday,7,3550,1501,cumberland,2018-07-18,3,1,3,0,29
104,1.882925016774064,0,0,1,30320,31211,Thursday,7,3550,1501,cumberland,2018-07-19,3,1,3,1,29
105,2.365180764949719,0,0,1,30320,31211,Friday,7,3550,1501,cumberland,2018-07-20,3,1,3,0,29
106,1.1134434185820268,0,0,1,30320,31211,Sunday,7,3550,1501,cumberland,2018-07-22,3,1,3,1,29
107,1.2056393704391373,0,0,1,30320,31211,Monday,7,3550,1501,cumberland,2018-07-23,3,1,3,1,30
108,1.4290372537852123,0,0,1,30320,31211,Tuesday,7,3550,1501,cumberland,2018-07-24,3,1,3,1,30
109,1.1950013759940858,0,0,1,30320,31211,Wednesday,7,3550,1501,cumberland,2018-07-25,3,1,3,0,30
110,2.205610848273951,0,0,1,30320,31211,Thursday,7,3550,1501,cumberland,2018-07-26,3,1,3,0,30
111,1.2056393704391373,0,0,1,30320,31211,Sunday,7,3550,1501,cumberland,2018-07-29,3,1,3,0,30
112,1.93611498899932,0,0,1,30320,31211,Monday,7,3550,1501,cumberland,2018-07-30,3,1,3,0,31
113,1.8510110334389105,0,0,1,30320,31211,Tuesday,7,3550,1501,cumberland,2018-07-31,3,1,3,1,31
114,1.6027911630543823,0,0,1,30320,31211,Wednesday,8,3550,1501,cumberland,2018-08-01,3,1,3,1,31
115,1.9042010056641665,0,0,1,30320,31211,Thursday,8,3550,1501,cumberland,2018-08-02,3,1,3,1,31
116,1.2340073556259403,0,0,1,30320,31211,Saturday,8,3550,1501,cumberland,2018-08-04,3,1,3,0,31
117,1.4822272260104687,0,0,1,30320,31211,Sunday,8,3550,1501,cumberland,2018-08-05,3,1,3,0,31
118,2.152420876048695,0,0,1,30320,31211,Monday,8,3550,1501,cumberland,2018-08-06,3,1,3,0,32
119,2.1134148964168404,0,0,1,30320,31211,Tuesday,8,3550,1501,cumberland,2018-08-07,3,1,3,0,32
120,1.1559953963622316,0,0,1,30320,31211,Wednesday,8,3550,1501,cumberland,2018-08-08,3,1,3,1,32
121,1.7056251093565442,0,1,1,30320,31211,Thursday,8,3550,1501,cumberland,2018-08-09,3,1,3,1,32
122,1.3581172908182046,0,1,1,30320,31211,Friday,8,3550,1501,cumberland,2018-08-10,3,1,3,0,32
123,1.907747003812517,0,1,1,30320,31211,Saturday,8,3550,1501,cumberland,2018-08-11,3,1,3,0,32
124,1.8403730389938595,0,1,1,30320,31211,Sunday,8,3550,1501,cumberland,2018-08-12,3,1,3,0,32
125,1.2765593334061451,0,1,1,30320,31211,Monday,8,3550,1501,cumberland,2018-08-13,3,1,3,0,33
126,2.343904776059617,0,1,1,30320,31211,Tuesday,8,3550,1501,cumberland,2018-08-14,3,1,3,0,33
127,1.7339930945433473,0,1,1,30320,31211,Wednesday,8,3550,1501,cumberland,2018-08-15,3,1,3,0,33
128,2.2197948408673525,0,1,1,30320,31211,Thursday,8,3550,1501,cumberland,2018-08-16,3,1,3,0,33
129,2.10986889826849,0,1,1,30320,31211,Sunday,8,3550,1501,cumberland,2018-08-19,3,1,3,1,33
130,1.8581030297356111,0,1,1,30320,31211,Monday,8,3550,1501,cumberland,2018-08-20,3,1,3,1,34
131,1.4042152667467598,0,1,1,30320,31211,Tuesday,8,3550,1501,cumberland,2018-08-21,3,1,3,1,34
132,1.5318712000873742,0,1,1,30320,31211,Wednesday,8,3550,1501,cumberland,2018-08-22,3,1,3,0,34
133,1.7269010982466466,0,1,1,30320,31211,Thursday,8,3550,1501,cumberland,2018-08-23,3,1,3,0,34
134,1.343933298224803,0,1,1,30320,31211,Friday,8,3550,1501,cumberland,2018-08-24,3,1,3,0,34
135,1.485773224158819,0,1,1,30320,31211,Saturday,8,3550,1501,cumberland,2018-08-25,3,1,3,0,34
136,1.624067151944485,0,1,1,30320,31211,Sunday,8,3550,1501,cumberland,2018-08-26,3,1,3,0,34
137,1.134719407472129,0,1,1,30320,31211,Monday,8,3550,1501,cumberland,2018-08-27,3,1,3,0,35
138,1.7694530760268512,0,1,1,30320,31211,Tuesday,8,3550,1501,cumberland,2018-08-28,3,1,3,0,35
139,1.432583251933563,0,1,1,30320,31211,Wednesday,8,3550,1501,cumberland,2018-08-29,3,1,3,0,35
140,2.443192724213428,0,1,1,30320,31211,Thursday,8,3550,1501,cumberland,2018-08-30,3,1,3,0,35
141,1.687895118614792,0,1,1,30320,31211,Friday,8,3550,1501,cumberland,2018-08-31,3,1,3,0,35
142,1.379393279708307,0,1,1,30320,31211,Sunday,9,3550,1501,cumberland,2018-09-02,3,1,3,0,35
143,1.283651329702846,0,1,1,30320,31211,Monday,9,3550,1501,cumberland,2018-09-03,3,1,3,0,36
144,1.7020791112081937,0,1,1,30320,31211,Tuesday,9,3550,1501,cumberland,2018-09-04,3,1,3,0,36
145,1.836827040845509,0,1,1,30320,31211,Wednesday,9,3550,1501,cumberland,2018-09-05,3,1,3,0,36
146,1.7339930945433473,0,1,1,30320,31211,Thursday,9,3550,1501,cumberland,2018-09-06,3,1,3,0,36
147,2.2972748623495423,0,0,1,30320,30344,Thursday,7,3550,1501,cumberland,2018-07-12,3,1,3,0,28
148,2.770835908535632,0,0,1,30320,30344,Saturday,7,3550,1501,cumberland,2018-07-14,3,1,3,0,28
149,2.418184065631097,0,0,1,30320,30344,Sunday,7,3550,1501,cumberland,2018-07-15,3,1,3,1,28
150,2.4786386672718743,0,0,1,30320,30344,Monday,7,3550,1501,cumberland,2018-07-16,3,1,3,1,29
151,2.1965171929482463,0,0,1,30320,30344,Tuesday,7,3550,1501,cumberland,2018-07-17,3,1,3,0,29
152,2.4685629003317446,0,0,1,30320,30344,Wednesday,7,3550,1501,cumberland,2018-07-18,3,1,3,0,29
153,2.4081082986909674,0,0,1,30320,30344,Thursday,7,3550,1501,cumberland,2018-07-19,3,1,3,1,29
154,2.428259832571227,0,0,1,30320,30344,Friday,7,3550,1501,cumberland,2018-07-20,3,1,3,0,29
155,2.609623637493559,0,0,1,30320,30344,Sunday,7,3550,1501,cumberland,2018-07-22,3,1,3,1,29
156,2.881669344877057,0,0,1,30320,30344,Monday,7,3550,1501,cumberland,2018-07-23,3,1,3,1,30
157,2.095759523546951,0,0,1,30320,30344,Tuesday,7,3550,1501,cumberland,2018-07-24,3,1,3,1,30
158,2.045380688846303,0,0,1,30320,30344,Wednesday,7,3550,1501,cumberland,2018-07-25,3,1,3,0,30
159,2.9421239465178344,0,0,1,30320,30344,Thursday,7,3550,1501,cumberland,2018-07-26,3,1,3,0,30
160,2.256971794589024,0,0,1,30320,30344,Sunday,7,3550,1501,cumberland,2018-07-29,3,1,3,0,30
161,2.1159110574272098,0,0,1,30320,30344,Monday,7,3550,1501,cumberland,2018-07-30,3,1,3,0,31
