"","Travel.Time.per.Mile..Minutes.Mile.","post","treatment","June","Aug","Sept","Mon","Wed","Thur","Fri","Sat","Sun","Vehicles","TransRoutes","WalkScore","NumBikeshare","school.population","event","Precip","tract","Date","DoW"
"66",5.88751505634943,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"67",1.88437789154085,0,1,1,0,0,0,0,0,0,0,0,1640,14,43,0,1736,0,0,81.02,"2019-06-25","Tuesday"
"68",4.40552113986316,0,1,1,0,0,0,0,0,0,0,0,1640,14,43,0,1736,0,0,81.02,"2019-06-25","Tuesday"
"69",4.95468880885714,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
"70",6.77524766630062,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"71",3.41368891510801,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"72",2.62381404099472,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"73",3.57233271122793,0,1,1,0,0,0,0,0,0,0,0,680,7,33,0,496,0,0,40,"2019-06-25","Tuesday"
"74",6.56552808736187,0,1,1,0,0,0,0,0,0,0,0,505,5,24,0,420,0,0,85,"2019-06-25","Tuesday"
"75",5.2516798566727,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"76",1.67550579579935,0,1,1,0,0,0,0,0,0,0,0,460,56,79,4,374,0,0,35,"2019-06-25","Tuesday"
"77",10.579993191532,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"78",6.90277709128504,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"79",4.00854982255268,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"80",5.07813388071645,0,1,1,0,0,0,0,0,0,0,0,680,7,33,0,496,0,0,40,"2019-06-25","Tuesday"
"81",1.55892890926223,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
"82",6.61562265531598,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"83",6.58815080153589,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"84",2.66867527442127,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"85",5.3790006432297,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"86",7.68870439060313,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"87",5.74911407693067,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
"88",3.0550207923,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"89",3.24411194877835,0,1,1,0,0,0,0,0,0,0,0,1055,74,86,6,3135,0,0,19,"2019-06-25","Tuesday"
"90",3.38723364919606,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"91",2.53575333937298,0,1,1,0,0,0,0,0,0,0,0,615,57,60,0,556,0,0,26,"2019-06-25","Tuesday"
"92",5.6412765831911,0,1,1,0,0,0,0,0,0,0,0,615,57,73,0,556,0,0,26,"2019-06-25","Tuesday"
"93",4.23713311891428,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
"94",4.81826702466181,0,1,1,0,0,0,0,0,0,0,0,1040,54,91,11,1134,0,0,119,"2019-06-25","Tuesday"
"95",2.97471667315854,0,1,1,0,0,0,0,0,0,0,0,460,56,96,4,374,0,0,35,"2019-06-25","Tuesday"
"96",6.01012175846069,0,1,1,0,0,0,0,0,0,0,0,2395,52,92,7,748,0,0,12.02,"2019-06-25","Tuesday"
"97",9.46146569217426,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"98",2.23784436400331,0,1,1,0,0,0,0,0,0,0,0,460,56,79,4,374,0,0,35,"2019-06-25","Tuesday"
"99",6.43287212046597,0,1,1,0,0,0,0,0,0,0,0,2395,52,81,7,748,0,0,12.02,"2019-06-25","Tuesday"
"100",4.93363371651858,0,1,1,0,0,0,0,0,0,0,0,460,56,79,4,374,0,0,35,"2019-06-25","Tuesday"
"101",5.23252182594305,0,1,1,0,0,0,0,0,0,0,0,605,9,66,1,609,0,0,25,"2019-06-25","Tuesday"
"102",6.2491114404873,0,1,1,0,0,0,0,0,0,0,0,505,5,24,0,420,0,0,85,"2019-06-25","Tuesday"
