"","origin","destination","Date","policy.dummy","distance","traveltime.person"
"29",26,28,"2019-05-08",0,1.3368371541375,0.0002887682096371
"30",26,35,"2019-05-08",0,0.839642274898976,0.000122638330551441
"31",26,5,"2019-05-29",0,2.76560800673336,0.000314185576345144
"32",26,13,"2019-05-29",0,2.15357805709472,0.000365704205012919
"33",26,18,"2019-05-29",0,1.50563317185252,0.000290768017859791
"34",26,19,"2019-05-29",0,1.02122319032679,0.000213880367499551
"35",26,11,"2019-05-29",0,2.08582294054571,0.000374680935765637
"36",26,120,"2019-05-29",0,1.66550862789891,0.000243932900889087
"37",26,4,"2019-05-29",0,2.46879759832542,0.000412539321983623
"38",26,119,"2019-05-29",0,1.19489152237086,0.000177583151847255
"39",26,12.02,"2019-05-29",0,1.5992949712473,0.000291548603142636
"40",26,12.01,"2019-05-29",0,1.76814044950993,0.000311063235213763
"41",26,10.01,"2019-05-29",0,1.80816913967087,0.000263837825601636
"42",26,118,"2019-05-29",0,0.912166895609926,0.00010303725733555
"43",26,21,"2019-05-29",0,0.649111285972633,0.000145969447892029
"44",26,28,"2019-05-29",0,1.3368371541375,0.000291938895784059
"45",26,35,"2019-05-29",0,0.839642274898976,0.000145579155250607
"46",26,5,"2019-07-17",0,2.76560800673336,0.000310563871200194
"47",26,13,"2019-07-17",0,2.15357805709472,0.000404947090568727
"48",26,18,"2019-07-17",0,1.50563317185252,0.000294898606574712
"49",26,19,"2019-07-17",0,1.02122319032679,0.000218530441525483
"50",26,11,"2019-07-17",0,2.08582294054571,0.00034581071660753
"51",26,120,"2019-07-17",0,1.66550862789891,0.000216963915062935
"52",26,4,"2019-07-17",0,2.46879759832542,0.000373616561317762
"53",26,119,"2019-07-17",0,1.19489152237086,0.000170359752802124
"54",26,12.02,"2019-07-17",0,1.5992949712473,0.000282366394874325
"55",26,12.01,"2019-07-17",0,1.76814044950993,0.000334845031369692
"56",26,10.01,"2019-07-17",0,1.80816913967087,0.000262001550861198
"57",26,118,"2019-07-17",0,0.912166895609926,0.000103390746528186
"58",26,21,"2019-07-17",0,0.649111285972633,0.000149211645557723
"59",26,28,"2019-07-17",0,1.3368371541375,0.000269050919942665
"60",26,35,"2019-07-17",0,0.839642274898976,0.000118664379538031
"61",26,5,"2019-08-14",1,2.76560800673336,0.000432366427432217
"62",26,13,"2019-08-14",1,2.15357805709472,0.000440673179160021
"63",26,18,"2019-08-14",1,1.50563317185252,0.000387509968102073
